ShipAvg,customer_zip_code_prefix
Slow,4222
Standard,4224
Standard,4225
Slow,4230
Slow,4231
Slow,4232
Slow,4235
Priority,4236
Standard,4240
Standard,4241
Slow,4242
Standard,4243
Standard,4244
Standard,4246
Slow,4247
Priority,4248
Standard,4249
Slow,4250
Slow,4251
Slow,4252
Standard,4253
Slow,4254
Standard,4255
Slow,4256
Standard,4257
Standard,4261
Standard,4264
Standard,4265
Standard,4266
Standard,4267
Standard,4268
Slow,4269
Slow,4270
Standard,4271
Standard,4272
Slow,4273
Slow,4274
Standard,4275
Standard,4276
Priority,4277
Standard,4278
Standard,4279
Slow,4280
Slow,4281
Standard,4282
Slow,4283
Standard,4284
Standard,4285
Priority,4286
Slow,4288
Standard,4290
Standard,4291
"Very slow",4292
Standard,4293
"Very slow",4294
Slow,4295
Standard,4296
Standard,4297
Slow,4298
Standard,4301
Standard,4302
Standard,4303
Standard,4304
Standard,4305
Standard,4306
Slow,4307
Slow,4308
Standard,4309
Slow,4310
Standard,4311
Standard,4312
Standard,4313
Standard,4314
Standard,4315
Slow,4316
Standard,4317
Slow,4318
Priority,4319
Slow,4320
Slow,4321
Standard,4323
Slow,4324
Slow,4325
Standard,4326
Standard,4327
Standard,4330
Slow,4331
Standard,4332
Standard,4333
Standard,4334
Standard,4335
Slow,4336
Slow,4337
Standard,4338
"Very slow",4339
Slow,4340
Slow,4342
Slow,4343
Slow,4344
Standard,4346
Standard,4347
Standard,4348
Standard,4349
Slow,4350
Standard,4355
Slow,4356
Standard,4357
Standard,4358
Slow,4359
Standard,4360
Standard,4361
Slow,4362
Standard,4363
Standard,4364
Slow,4365
Standard,4366
Standard,4367
Standard,4368
Slow,4369
Standard,4370
Priority,4371
Standard,4372
Slow,4374
Standard,4376
Slow,4378
Standard,4379
Slow,4381
Standard,4382
Standard,4383
Standard,4384
Standard,4386
Standard,4387
Standard,4401
Priority,4402
Standard,4403
Standard,4405
Slow,4406
Priority,4407
"Very slow",4408
Standard,4409
Slow,4410
Priority,4411
Slow,4412
Slow,4413
"Very slow",4414
Slow,4415
Standard,4416
Standard,4417
Standard,4419
Slow,4421
Standard,4423
Slow,4424
"Very slow",4425
Slow,4427
Priority,4428
Slow,4429
Slow,4430
Slow,4431
Slow,4432
Slow,4433
"Very slow",4434
Standard,4437
Slow,4438
Slow,4439
Standard,4444
Standard,4445
Standard,4446
Slow,4447
Slow,4455
Standard,4456
Standard,4457
Slow,4458
Slow,4459
Priority,4460
Priority,4461
Standard,4462
Standard,4463
"Very slow",4464
Slow,4466
Slow,4467
Slow,4468
Slow,4469
Slow,4470
"Very slow",4472
Standard,4473
Slow,4474
Slow,4475
Slow,4476
Standard,4501
Slow,4502
Slow,4503
Standard,4504
Standard,4505
Standard,4506
Slow,4507
Slow,4508
Standard,4509
Slow,4510
Slow,4511
Standard,4512
Standard,4513
Standard,4514
Slow,4515
Standard,4516
Standard,4517
Slow,4520
Standard,4521
Standard,4522
Standard,4523
Standard,4524
Slow,4530
Standard,4531
Slow,4532
Standard,4533
Standard,4534
Priority,4535
Standard,4536
Standard,4537
Standard,4538
Standard,4542
Slow,4543
Slow,4544
Standard,4545
Standard,4546
Standard,4547
Standard,4548
Slow,4549
Standard,4550
Standard,4551
Standard,4552
Slow,4553
Standard,4555
Standard,4556
Slow,4557
Slow,4558
Standard,4559
Standard,4560
Standard,4561
Standard,4562
Slow,4563
Standard,4564
Slow,4565
Standard,4566
Standard,4567
Standard,4569
Slow,4570
Standard,4571
Slow,4575
Slow,4576
Slow,4578
Standard,4580
Standard,4581
Standard,4582
Standard,4583
Standard,4601
Slow,4602
Slow,4603
Standard,4604
Standard,4605
Slow,4606
Standard,4607
Slow,4608
Slow,4609
Slow,4610
Slow,4611
Standard,4612
Standard,4613
Slow,4614
Standard,4615
Standard,4616
Standard,4617
Standard,4618
Slow,4619
Standard,4620
Slow,4621
Slow,4622
Standard,4623
Slow,4624
Standard,4625
Standard,4626
Standard,4627
Priority,4630
Standard,4631
Priority,4632
Standard,4633
Standard,4634
Standard,4635
Slow,4636
Standard,4637
Standard,4638
Standard,4639
Standard,4640
Standard,4641
"Very slow",4642
Standard,4643
Standard,4645
Standard,4646
Priority,4647
Standard,4648
Slow,4649
Slow,4650
Slow,4651
Slow,4652
Standard,4653
Standard,4655
Slow,4657
Standard,4658
Standard,4660
Standard,4661
Standard,4662
Priority,4663
Slow,4664
Slow,4671
Slow,4672
Slow,4673
Standard,4674
Slow,4675
Standard,4676
Priority,4678
Slow,4679
Slow,4685
Slow,4686
Slow,4689
Slow,4690
Standard,4691
Slow,4692
Standard,4693
Slow,4696
Standard,4701
Slow,4702
Slow,4703
Slow,4704
Slow,4705
Slow,4707
Slow,4708
Standard,4709
Slow,4710
Standard,4711
Slow,4713
"Very slow",4714
